Title:       ,Sunset_PID
 2.6071010 , 8.4927430
 2.6077750 , 8.4922000
 2.6083380 , 8.4915970
 2.6095910 , 8.4911430
 2.6098600 , 8.4903180
 2.6100650 , 8.4897660
 2.6110780 , 8.4889390
 2.6113690 , 8.4884610
 2.6119780 , 8.4878720
 2.6124790 , 8.4873280
 2.6136930 , 8.4867630
 2.6139870 , 8.4860650
 2.6142640 , 8.4853210
 2.6150060 , 8.4847970
 2.6164950 , 8.4841520
 2.6162830 , 8.4838230
 2.6168190 , 8.4828680
 2.6177570 , 8.4822690
 2.6187020 , 8.4818940
 2.6189030 , 8.4812120
 2.6194600 , 8.4803900
 2.6205080 , 8.4796200
 2.6211740 , 8.4792770
 2.6215880 , 8.4787120
 2.6220180 , 8.4780490
 2.6230030 , 8.4773900
 2.6237490 , 8.4765600
 2.6239270 , 8.4761820
 2.6244890 , 8.4754670
 2.6254390 , 8.4748600
 2.6273560 , 8.4741970
 2.6266310 , 8.4737970
 2.6271110 , 8.4731390
 2.6280560 , 8.4721020
 2.6293240 , 8.4717400
 2.6290910 , 8.4712190
 2.6295870 , 8.4707230
 2.6311160 , 8.4700780
 2.6320950 , 8.4692370
 2.6315770 , 8.4690250
 2.6321070 , 8.4679770
 2.6328170 , 8.4675690
 2.6338730 , 8.4668460
 2.6340220 , 8.4662400
 2.6342400 , 8.4658060
 2.6351500 , 8.4650720
 2.6357610 , 8.4644560
 2.6367690 , 8.4638040
 2.6365780 , 8.4634950
 2.6371600 , 8.4625760
 2.6378540 , 8.4622350
 2.6384600 , 8.4617610
 2.6388580 , 8.4609160
 2.6391030 , 8.4603020
 2.6395750 , 8.4597040
 2.6401330 , 8.4594910
 2.6413420 , 8.4588350
 2.6434280 , 8.4577520
 2.6421180 , 8.4574240
 2.6425160 , 8.4568770
 2.6434210 , 8.4563390
 2.6446430 , 8.4556820
 2.6443640 , 8.4551560
 2.6445200 , 8.4547890
 2.6449720 , 8.4539550
 2.6462620 , 8.4533350
 2.6464250 , 8.4528350
 2.6465660 , 8.4520940
 2.6470890 , 8.4516510
 2.6476200 , 8.4507310
 2.6494090 , 8.4504580
 2.6485860 , 8.4498460
 2.6489980 , 8.4491500
 2.6496630 , 8.4486600
 2.6504030 , 8.4480950
 2.6510730 , 8.4477870
 2.6507290 , 8.4470780
 2.6514490 , 8.4464180
 2.6524280 , 8.4456990
 2.6533030 , 8.4453360
 2.6530610 , 8.4448110
 2.6534960 , 8.4439850
 2.6540600 , 8.4436010
 2.6555840 , 8.4427350
 2.6552290 , 8.4423730
 2.6553950 , 8.4417480
 2.6559910 , 8.4411040
 2.6566660 , 8.4408880
 2.6573590 , 8.4401720
 2.6572920 , 8.4396120
 2.6578950 , 8.4385570
 2.6588810 , 8.4380910
 2.6599330 , 8.4375240
 2.6598040 , 8.4367650
 2.6602120 , 8.4361960
 2.6605430 , 8.4356280
 2.6623830 , 8.4350730
 2.6619310 , 8.4343720
 2.6621600 , 8.4337130
 2.6625010 , 8.4333360
 2.6637120 , 8.4325960
 2.6637210 , 8.4321570
 2.6645140 , 8.4316700
 2.6643750 , 8.4310890
 2.6655730 , 8.4305850
 2.6654630 , 8.4298630
 2.6659620 , 8.4292080
 2.6663880 , 8.4285840
 2.6675290 , 8.4281360
 2.6673810 , 8.4275110
 2.6678900 , 8.4266680
 2.6682420 , 8.4266650
 2.6693480 , 8.4257130
 2.6692190 , 8.4251010
 2.6695010 , 8.4246610
 2.6700610 , 8.4240540
 2.6714600 , 8.4234200
